time_step,building_id,charger_id,connected_ev,connected_ev_soc,action,constraint_violations
4919,2,charger_10_1,EV_3,48.57750300411028,0.034,[]
4919,3,charger_12_1,EV_4,26.597191320683656,0.034,[]
4919,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4920,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4920,2,charger_10_1,EV_3,48.50379556949432,0.034,[]
4920,3,charger_12_1,EV_4,26.655365756168262,0.034,[]
4920,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4921,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4921,2,charger_10_1,EV_3,48.43053037948606,0.05532,[]
4921,3,charger_12_1,EV_4,26.71319114503996,0.05532,[]
4921,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4922,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4922,2,charger_10_1,EV_3,48.49425159468472,0.05532,[]
4922,3,charger_12_1,EV_4,26.9072163956453,0.05532,[]
4922,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4923,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4923,2,charger_10_1,EV_3,48.55759048259219,0.05532,[]
4923,3,charger_12_1,EV_4,27.100077494747005,0.05532,[]
4923,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4924,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4924,2,charger_10_1,EV_3,48.620549337172214,0.05532,[]
4924,3,charger_12_1,EV_4,27.2917814272541,0.05532,[]
4924,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4925,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4925,2,charger_10_1,EV_3,48.68313043862476,0.05532,[]
4925,3,charger_12_1,EV_4,27.482335136166157,0.05532,[]
4925,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4926,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4926,2,charger_10_1,,,0.05532,['Charging with No EV Connected']
4926,3,charger_12_1,EV_4,27.671745522824736,0.05532,[]
4926,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4927,1,charger_1_1,,,-0.02,['Discharge During Idle']
4927,2,charger_10_1,,,-0.02,['Discharge During Idle']
4927,3,charger_12_1,EV_4,27.860019447163367,-0.02,['Charging Power Violation']
4927,4,charger_15_1,,,-0.02,['Discharge During Idle']
4928,1,charger_1_1,,,-0.02,['Discharge During Idle']
4928,2,charger_10_1,,,-0.02,['Discharge During Idle']
4928,3,charger_12_1,,,-0.02,['Discharge During Idle']
4928,4,charger_15_1,,,-0.02,['Discharge During Idle']
4929,1,charger_1_1,,,-0.02,['Discharge During Idle']
4929,2,charger_10_1,,,-0.02,['Discharge During Idle']
4929,3,charger_12_1,,,-0.02,['Discharge During Idle']
4929,4,charger_15_1,,,-0.02,['Discharge During Idle']
4930,1,charger_1_1,,,-0.02,['Discharge During Idle']
4930,2,charger_10_1,,,-0.02,['Discharge During Idle']
4930,3,charger_12_1,,,-0.02,['Discharge During Idle']
4930,4,charger_15_1,,,-0.02,['Discharge During Idle']
4931,1,charger_1_1,,,-0.02,['Discharge During Idle']
4931,2,charger_10_1,,,-0.02,['Discharge During Idle']
4931,3,charger_12_1,,,-0.02,['Discharge During Idle']
4931,4,charger_15_1,,,-0.02,['Discharge During Idle']
4932,1,charger_1_1,,,-0.02,['Discharge During Idle']
4932,2,charger_10_1,,,-0.02,['Discharge During Idle']
4932,3,charger_12_1,,,-0.02,['Discharge During Idle']
4932,4,charger_15_1,,,-0.02,['Discharge During Idle']
4933,1,charger_1_1,,,-0.02,['Discharge During Idle']
